Power,Time,Ar,N2,Pressure,Voltage,Current,RI,Thickness,Ti,N
50,125,840,360,0.86,346,144,37.28,1144,82.45,17.55
50,455,480,720,0.82,389,128,18.39,1065,56.68,43.32
50,480,420,780,0.81,391,127,16.57,1051,52.89,47.11
50,490,300,900,0.8,396,126,19.75,972,52.15,47.85
50,590,240,960,0.8,402,124,16.11,995,53.02,46.98
50,120,480,120,0.5,356,140,42.01,1003,84.67,15.33
50,125,420,180,0.49,365,147,43.72,1026,84.56,15.44
50,480,240,360,0.47,380,131,35.97,4621,82.17,17.83
50,480,210,390,0.46,384,130,40.63,4834,83.22,16.78
50,490,180,420,0.46,403,124,26.86,1436,82.66,17.34
50,490,150,450,0.46,389,128,38.14,4975,79.65,20.35
50,590,120,480,0.46,393,127,24.04,5957,81.77,18.23
50,490,320,480,0.6,377,132,37.64,4856,84.78,15.22
30,490,320,480,0.6,367,81,25.35,723,51.31,48.69
30,754,160,640,0.58,374,80,24.2,762,48.35,51.65
30,754,240,560,0.6,368,81,20.94,863,51.95,48.05
30,677,320,480,0.6,364,82,22.92,857,49.64,50.36
30,720,400,400,0.61,352,82,19.48,971,53.43,46.57
30,680,480,320,0.62,364,82,18.89,986,53.58,46.42
30,630,560,240,0.6,373,80,19.11,972,54.52,45.48
30,600,640,160,0.61,328,91,36.63,2981,86.02,13.98
30,983,240,960,0.8,377,79,16.43,810,54.21,45.79
40,738,240,960,0.78,390,102,16.19,970,53.09,46.91
60,492,240,960,0.77,407,147,18.16,1041,51.13,48.87
70,421,240,960,0.8,413,169,20.18,1186,52.28,47.72
80,369,240,960,0.8,418,191,21.36,1259,52.21,47.79
90,328,240,960,0.81,423,213,22.67,1373,51.36,48.64
90,242,240,960,0.8,422,213,25.71,990,51.52,48.48
100,234,240,960,0.8,427,234,38.35,1588,81.95,18.05
50,455,480,720,0.8,385,130,38.14,3927,78.19,21.81
50,710,480,720,0.63,388,128,17.17,1285,52.9,47.1
50,455,480,720,1,390,128,15.83,1124,55.69,44.31
50,590,240,960,0.8,432,115,13.57,1400,51.94,48.06
50,590,240,960,0.63,396,126,19.76,1247,52.11,47.89
50,590,240,960,1,404,123,15.81,1174,53.59,46.41
70,220,240,960,0.8,415,168,24.44,619,52.25,47.75
70,260,240,960,0.8,414,168,23.45,726,54.25,45.75
70,290,240,960,0.8,414,168,22.98,794,52.36,47.64
70,330,240,960,0.8,414,169,22.4,895,54.05,45.95
70,365,240,960,0.8,414,169,20.17,1012,52.92,47.08
70,400,240,960,0.8,414,169,19.78,1137,50.44,49.56
70,435,240,960,0.8,413,169,18.18,1217,55.02,44.98
70,470,240,960,0.8,413,169,17.78,1297,53.01,46.99
70,505,240,960,0.8,413,169,17.49,1423,55.21,44.79
70,540,240,960,0.8,413,169,17.35,1524,53.65,46.35
70,365,240,960,0.8,413,169,20.48,1169,54.32,45.68
70,365,240,960,0.8,414,169,20.43,1022,53.22,46.78
70,365,240,960,0.8,412,169,20.17,1025,51.15,48.85
70,365,240,960,0.8,413,169,19.76,1168,54.82,45.18
70,365,240,960,0.8,413,169,21.26,955,53.84,46.16
70,365,240,960,0.8,413,169,20.7,1075,54.44,45.56
70,365,240,960,0.8,413,169,21.3,1278,53.88,46.12
70,365,240,960,0.8,413,169,20.83,1094,53.74,46.26
70,365,240,960,0.8,413,169,21.29,1192,53.34,46.66
70,365,240,960,0.8,414,168,20.26,1047,52.47,47.53
70,1825,240,960,0.8,413,169,15.3,5329,53.59,46.41
70,365,240,960,0.8,414,169,21.42,1021,52.22,47.78
70,1825,240,960,0.8,414,169,16.19,5373,55.1,44.9
70,365,240,960,0.8,413,169,21.28,1053,49.02,50.98
70,1825,240,960,0.8,412,169,15.92,5437,54.49,45.51
70,365,240,960,0.8,413,169,21.69,1070,52.18,47.82
70,1825,240,960,0.8,413,169,15.07,5611,55.18,44.82
70,365,240,960,0.8,414,167,21.55,1056,53.24,46.76
